Column1,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,year
35,Foot Locker,1185732,"Monday, March 9, 2020",Northeast,New York,new york,Women's Apparel,65,1050,682500,170625,0.25,Outlet,2020
36,Foot Locker,1185732,"Tuesday, March 10, 2020",Northeast,New York,new york,Men's Street Footwear,60,1275,765000,382500,0.5,Outlet,2020
37,Foot Locker,1185732,"Wednesday, March 11, 2020",Northeast,New York,new york,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,2020
38,Foot Locker,1185732,"Thursday, March 12, 2020",Northeast,New York,new york,Women's Street Footwear,50,950,475000,166250,0.35,Outlet,2020
39,Foot Locker,1185732,"Friday, March 13, 2020",Northeast,New York,new york,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,2020
40,Foot Locker,1185732,"Saturday, March 14, 2020",Northeast,New York,new york,Men's Apparel,60,925,555000,166500,0.3,Outlet,2020
41,Foot Locker,1185732,"Sunday, March 15, 2020",Northeast,New York,new york,Women's Apparel,65,1100,715000,178750,0.25,Outlet,2020
42,Foot Locker,1185732,"Monday, March 16, 2020",Northeast,New York,new york,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,2020
43,Foot Locker,1185732,"Tuesday, March 17, 2020",Northeast,New York,new york,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,2020
44,Foot Locker,1185732,"Wednesday, March 18, 2020",Northeast,New York,new york,Women's Street Footwear,50,950,475000,166250,0.35,Outlet,2020
45,Foot Locker,1185732,"Tuesday, March 31, 2020",Northeast,New York,new york,Women's Athletic Footwear,50,925,462500,161875,0.35,Outlet,2020
46,Walmart,1185732,"Friday, April 17, 2020",Northeast,New York,new york,Men's Apparel,60,900,540000,162000,0.3,Outlet,2020
47,Walmart,1185732,"Saturday, April 18, 2020",Northeast,New York,new york,Women's Apparel,65,1075,698750,174687.5,0.25,Outlet,2020
48,Walmart,1185732,"Sunday, April 19, 2020",Northeast,New York,new york,Men's Street Footwear,60,1200,720000,360000,0.5,Outlet,2020
49,Walmart,1185732,"Monday, April 20, 2020",Northeast,New York,new york,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,2020
50,Walmart,1185732,"Tuesday, April 21, 2020",Northeast,New York,new york,Women's Street Footwear,50,925,462500,161875,0.35,Outlet,2020
51,Walmart,1185732,"Wednesday, April 22, 2020",Northeast,New York,new york,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,2020
52,Walmart,1185732,"Thursday, April 23, 2020",Northeast,New York,new york,Men's Apparel,60,900,540000,162000,0.3,Outlet,2020
53,Walmart,1185732,"Friday, April 24, 2020",Northeast,New York,new york,Women's Apparel,65,1000,650000,162500,0.25,Outlet,2020
54,Walmart,1185732,"Saturday, April 25, 2020",Northeast,New York,new york,Men's Apparel,65,875,568750,170625,0.3,Outlet,2020
55,Walmart,1185732,"Sunday, April 26, 2020",Northeast,New York,new york,Women's Apparel,70,1000,700000,175000,0.25,Outlet,2020
56,Walmart,1185732,"Monday, April 27, 2020",Northeast,New York,new york,Men's Street Footwear,65,1150,747500,373750,0.5,Outlet,2020
57,Walmart,1185732,"Tuesday, April 28, 2020",Northeast,New York,new york,Men's Athletic Footwear,55,975,536250,160875,0.3,Outlet,2020
58,Walmart,1185732,"Wednesday, April 29, 2020",Northeast,New York,new york,Women's Street Footwear,55,920,506000,177100,0.35,Outlet,2020
59,Walmart,1185732,"Thursday, April 30, 2020",Northeast,New York,new york,Women's Athletic Footwear,55,900,495000,173250,0.35,Outlet,2020
60,Walmart,1185732,"Friday, May 1, 2020",Northeast,New York,new york,Men's Apparel,65,875,568750,170625,0.3,Outlet,2020
61,Walmart,1185732,"Saturday, May 2, 2020",Northeast,New York,new york,Women's Apparel,70,975,682500,170625,0.25,Outlet,2020
62,Walmart,1185732,"Sunday, May 3, 2020",Northeast,New York,new york,Men's Street Footwear,65,1200,780000,390000,0.5,Outlet,2020
63,Walmart,1185732,"Monday, May 4, 2020",Northeast,New York,new york,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,2020
64,Walmart,1185732,"Tuesday, May 5, 2020",Northeast,New York,new york,Women's Street Footwear,55,950,522500,182875,0.35,Outlet,2020
65,Walmart,1185732,"Wednesday, May 6, 2020",Northeast,New York,new york,Women's Athletic Footwear,55,900,495000,173250,0.35,Outlet,2020
66,Walmart,1185732,"Thursday, May 7, 2020",Northeast,New York,new york,Men's Apparel,65,900,585000,175500,0.3,Outlet,2020
67,Walmart,1185732,"Saturday, July 18, 2020",Northeast,New York,new york,Women's Apparel,70,1000,700000,175000,0.25,Outlet,2020
68,Sports Direct,1197831,"Sunday, July 19, 2020",Northeast,New York,new york,Men's Street Footwear,25,900,225000,78750,0.35,Outlet,2020
69,Sports Direct,1197831,"Monday, July 20, 2020",Northeast,New York,new york,Men's Athletic Footwear,35,900,315000,110250,0.35,Outlet,2020
70,Sports Direct,1197831,"Tuesday, July 21, 2020",Northeast,New York,new york,Women's Street Footwear,35,700,245000,85750,0.35,Outlet,2020
71,Sports Direct,1197831,"Wednesday, July 22, 2020",Northeast,New York,new york,Women's Athletic Footwear,35,700,245000,110250,0.45,Outlet,2020
72,Sports Direct,1197831,"Thursday, July 23, 2020",South,Texas,houston,Men's Apparel,40,550,220000,66000,0.3,Outlet,2020
73,Sports Direct,1197831,"Friday, July 24, 2020",South,Texas,houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,2020
74,Sports Direct,1197831,"Saturday, July 25, 2020",South,Texas,houston,Men's Street Footwear,25,850,212500,74375,0.35,Outlet,2020
75,Sports Direct,1197831,"Sunday, July 26, 2020",South,Texas,houston,Men's Athletic Footwear,35,850,297500,104125,0.35,Outlet,2020
76,Sports Direct,1197831,"Monday, July 27, 2020",South,Texas,houston,Women's Street Footwear,35,675,236250,82687.5,0.35,Outlet,2020
77,Sports Direct,1197831,"Tuesday, July 28, 2020",South,Texas,houston,Women's Athletic Footwear,35,625,218750,98437.5,0.45,Outlet,2020
78,Sports Direct,1197831,"Wednesday, July 29, 2020",South,Texas,houston,Men's Apparel,40,500,200000,60000,0.3,Outlet,2020
79,Sports Direct,1197831,"Thursday, July 30, 2020",South,Texas,houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,2020
80,Sports Direct,1197831,"Friday, July 31, 2020",South,Texas,houston,Men's Street Footwear,30,875,262500,91875,0.35,Outlet,2020
81,Sports Direct,1197831,"Saturday, August 1, 2020",South,Texas,houston,Men's Athletic Footwear,40,875,350000,122500,0.35,Outlet,2020
82,Sports Direct,1197831,"Sunday, August 2, 2020",South,Texas,houston,Women's Street Footwear,35,700,245000,85750,0.35,Outlet,2020
83,Sports Direct,1197831,"Monday, August 3, 2020",South,Texas,houston,Women's Athletic Footwear,40,600,240000,108000,0.45,Outlet,2020
84,Sports Direct,1197831,"Tuesday, August 4, 2020",South,Texas,houston,Men's Apparel,45,500,225000,67500,0.3,Outlet,2020
85,Sports Direct,1197831,"Wednesday, August 5, 2020",South,Texas,houston,Women's Apparel,40,650,260000,130000,0.5,Outlet,2020
86,Sports Direct,1197831,"Thursday, August 6, 2020",South,Texas,houston,Men's Street Footwear,30,900,270000,94500,0.35,Outlet,2020
87,Sports Direct,1197831,"Friday, August 7, 2020",South,Texas,houston,Men's Athletic Footwear,40,900,360000,126000,0.35,Outlet,2020
88,Sports Direct,1197831,"Saturday, August 8, 2020",South,Texas,houston,Women's Street Footwear,35,725,253750,88812.5,0.35,Outlet,2020
89,Sports Direct,1197831,"Sunday, August 9, 2020",South,Texas,houston,Women's Athletic Footwear,40,625,250000,112500,0.45,Outlet,2020
90,Walmart,1197831,"Monday, August 10, 2020",South,Texas,houston,Men's Apparel,45,525,236250,70875,0.3,Outlet,2020
91,Walmart,1197831,"Tuesday, August 11, 2020",South,Texas,houston,Women's Apparel,40,800,320000,160000,0.5,Outlet,2020
92,Walmart,1197831,"Wednesday, August 12, 2020",South,Texas,houston,Men's Street Footwear,30,925,277500,97125,0.35,Outlet,2020
93,Walmart,1197831,"Thursday, August 13, 2020",South,Texas,houston,Men's Athletic Footwear,40,925,370000,129500,0.35,Outlet,2020
94,Walmart,1197831,"Friday, August 14, 2020",South,Texas,houston,Women's Street Footwear,35,775,271250,94937.5,0.35,Outlet,2020
95,Walmart,1197831,"Saturday, August 15, 2020",South,Texas,houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet,2020
96,Walmart,1197831,"Sunday, August 16, 2020",South,Texas,houston,Men's Apparel,45,600,270000,81000,0.3,Outlet,2020
97,Walmart,1197831,"Monday, August 17, 2020",South,Texas,houston,Women's Apparel,40,950,380000,190000,0.5,Outlet,2020
98,Walmart,1197831,"Tuesday, August 18, 2020",South,Texas,houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet,2020
99,Walmart,1197831,"Wednesday, August 19, 2020",South,Texas,houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,2020
100,Walmart,1197831,"Thursday, August 20, 2020",South,Texas,houston,Women's Street Footwear,40,800,320000,112000,0.35,Outlet,2020
101,Walmart,1197831,"Friday, August 21, 2020",South,Texas,houston,Women's Athletic Footwear,40,750,300000,135000,0.45,Outlet,2020
102,Walmart,1197831,"Saturday, August 22, 2020",South,Texas,houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,2020
103,Walmart,1197831,"Sunday, August 23, 2020",South,Texas,houston,Women's Apparel,50,1000,500000,250000,0.5,Outlet,2020
104,Walmart,1197831,"Monday, August 24, 2020",South,Texas,houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet,2020
105,Walmart,1197831,"Tuesday, August 25, 2020",South,Texas,houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,2020
106,Walmart,1197831,"Wednesday, August 26, 2020",South,Texas,houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet,2020
107,Walmart,1197831,"Thursday, August 27, 2020",South,Texas,houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet,2020
108,Walmart,1197831,"Friday, August 28, 2020",South,Texas,houston,Men's Apparel,45,700,315000,94500,0.3,Outlet,2020
109,Walmart,1197831,"Saturday, August 29, 2020",South,Texas,houston,Women's Apparel,50,975,487500,243750,0.5,Outlet,2020
110,Walmart,1197831,"Sunday, August 30, 2020",South,Texas,houston,Men's Street Footwear,40,925,370000,129500,0.35,Outlet,2020
111,Walmart,1197831,"Monday, August 31, 2020",South,Texas,houston,Men's Athletic Footwear,45,925,416250,145687.5,0.35,Outlet,2020
112,Walmart,1197831,"Tuesday, September 1, 2020",South,Texas,houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet,2020
113,Walmart,1197831,"Wednesday, September 2, 2020",South,Texas,houston,Women's Athletic Footwear,40,650,260000,117000,0.45,Outlet,2020
114,Walmart,1197831,"Thursday, September 3, 2020",South,Texas,houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,2020
115,Walmart,1197831,"Friday, September 4, 2020",South,Texas,houston,Women's Apparel,50,900,450000,225000,0.5,Outlet,2020
116,Walmart,1197831,"Saturday, September 5, 2020",South,Texas,houston,Men's Street Footwear,45,850,382500,133875,0.35,Outlet,2020
117,Walmart,1197831,"Sunday, September 6, 2020",South,Texas,houston,Men's Athletic Footwear,45,850,382500,133875,0.35,Outlet,2020
118,Walmart,1197831,"Monday, September 7, 2020",South,Texas,houston,Women's Street Footwear,50,900,450000,157500,0.35,Outlet,2020
119,Walmart,1197831,"Tuesday, September 8, 2020",South,Texas,houston,Women's Athletic Footwear,50,625,312500,140625,0.45,Outlet,2020
120,Walmart,1197831,"Wednesday, September 9, 2020",South,Texas,houston,Men's Apparel,45,625,281250,84375,0.3,Outlet,2020
121,Walmart,1197831,"Thursday, September 10, 2020",South,Texas,houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,2020
122,Walmart,1197831,"Friday, September 11, 2020",South,Texas,houston,Men's Street Footwear,45,800,360000,126000,0.35,Outlet,2020
123,Walmart,1197831,"Saturday, September 12, 2020",South,Texas,houston,Men's Athletic Footwear,45,800,360000,126000,0.35,Outlet,2020
124,Walmart,1197831,"Sunday, September 13, 2020",South,Texas,houston,Women's Street Footwear,50,750,375000,131250,0.35,Outlet,2020
125,Walmart,1197831,"Monday, September 14, 2020",South,Texas,houston,Women's Athletic Footwear,50,600,300000,135000,0.45,Outlet,2020
126,Walmart,1197831,"Tuesday, September 15, 2020",South,Texas,houston,Men's Apparel,45,575,258750,77625,0.3,Outlet,2020
127,Walmart,1197831,"Wednesday, September 16, 2020",South,Texas,houston,Women's Apparel,55,750,412500,206250,0.5,Outlet,2020
128,Walmart,1197831,"Tuesday, October 20, 2020",South,Texas,houston,Men's Street Footwear,45,900,405000,141750,0.35,Outlet,2020
129,Walmart,1197831,"Wednesday, October 21, 2020",South,Texas,houston,Men's Athletic Footwear,45,900,405000,141750,0.35,Outlet,2020
130,Walmart,1197831,"Thursday, October 22, 2020",South,Texas,houston,Women's Street Footwear,50,825,412500,144375,0.35,Outlet,2020
131,Walmart,1197831,"Friday, October 23, 2020",South,Texas,houston,Women's Athletic Footwear,50,675,337500,151875,0.45,Outlet,2020
132,Walmart,1197831,"Saturday, October 24, 2020",South,Texas,houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,2020
133,Walmart,1197831,"Sunday, October 25, 2020",South,Texas,houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,2020
134,Walmart,1197831,"Monday, October 26, 2020",South,Texas,houston,Men's Street Footwear,45,950,427500,149625,0.35,Outlet,2020
135,Walmart,1197831,"Tuesday, October 27, 2020",South,Texas,houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,2020
136,Walmart,1197831,"Wednesday, October 28, 2020",South,Texas,houston,Women's Street Footwear,50,850,425000,148750,0.35,Outlet,2020
137,Walmart,1197831,"Thursday, October 29, 2020",South,Texas,houston,Women's Athletic Footwear,50,700,350000,157500,0.45,Outlet,2020
138,Walmart,1197831,"Friday, October 30, 2020",South,Texas,houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,2020
139,Walmart,1197831,"Saturday, October 31, 2020",South,Texas,houston,Women's Apparel,55,900,495000,247500,0.5,Outlet,2020
140,West Gear,1128299,"Sunday, November 1, 2020",South,Texas,houston,Men's Street Footwear,40,775,310000,108500,0.35,Outlet,2020
141,West Gear,1128299,"Monday, November 2, 2020",South,Texas,houston,Men's Athletic Footwear,50,775,387500,77500,0.2,Outlet,2020
142,West Gear,1128299,"Tuesday, November 3, 2020",South,Texas,houston,Women's Street Footwear,50,775,387500,135625,0.35,Outlet,2020
143,West Gear,1128299,"Wednesday, November 4, 2020",South,Texas,houston,Women's Athletic Footwear,50,625,312500,93750,0.3,Outlet,2020
144,West Gear,1128299,"Thursday, November 5, 2020",West,California,san francisco,Men's Apparel,55,575,316250,158125,0.5,Outlet,2020
145,West Gear,1128299,"Friday, November 6, 2020",West,California,san francisco,Women's Apparel,50,775,387500,58125,0.15,Outlet,2020
146,West Gear,1128299,"Saturday, November 7, 2020",West,California,san francisco,Men's Street Footwear,40,825,330000,115500,0.35,Outlet,2020
147,West Gear,1128299,"Sunday, November 8, 2020",West,California,san francisco,Men's Athletic Footwear,50,725,362500,72500,0.2,Outlet,2020
148,West Gear,1128299,"Monday, November 9, 2020",West,California,san francisco,Women's Street Footwear,50,725,362500,126875,0.35,Outlet,2020
149,West Gear,1128299,"Tuesday, November 10, 2020",West,California,san francisco,Women's Athletic Footwear,50,575,287500,86250,0.3,Outlet,2020
150,West Gear,1128299,"Wednesday, November 11, 2020",West,California,san francisco,Men's Apparel,55,500,275000,137500,0.5,Outlet,2020
151,West Gear,1128299,"Thursday, November 12, 2020",West,California,san francisco,Women's Apparel,50,700,350000,52500,0.15,Outlet,2020
152,West Gear,1128299,"Friday, November 13, 2020",West,California,san francisco,Men's Street Footwear,50,850,425000,148750,0.35,Outlet,2020
153,West Gear,1128299,"Saturday, November 14, 2020",West,California,san francisco,Men's Athletic Footwear,60,700,420000,84000,0.2,Outlet,2020
154,West Gear,1128299,"Sunday, November 15, 2020",West,California,san francisco,Women's Street Footwear,60,700,420000,147000,0.35,Outlet,2020
155,West Gear,1128299,"Tuesday, December 22, 2020",West,California,san francisco,Women's Athletic Footwear,60,600,360000,108000,0.3,Outlet,2020
156,West Gear,1128299,"Wednesday, December 23, 2020",West,California,san francisco,Men's Apparel,65,500,325000,162500,0.5,Outlet,2020
157,West Gear,1128299,"Thursday, December 24, 2020",West,California,san francisco,Women's Apparel,60,700,420000,63000,0.15,Outlet,2020
158,West Gear,1128299,"Friday, December 25, 2020",West,California,san francisco,Men's Street Footwear,60,875,525000,183750,0.35,Outlet,2020
159,West Gear,1128299,"Saturday, December 26, 2020",West,California,san francisco,Men's Athletic Footwear,65,675,438750,87750,0.2,Outlet,2020
160,West Gear,1128299,"Sunday, December 27, 2020",West,California,san francisco,Women's Street Footwear,65,725,471250,164937.5,0.35,Outlet,2020
161,West Gear,1128299,"Monday, December 28, 2020",West,California,san francisco,Women's Athletic Footwear,60,625,375000,112500,0.3,Outlet,2020
162,West Gear,1128299,"Tuesday, December 29, 2020",West,California,san francisco,Men's Apparel,65,525,341250,170625,0.5,Outlet,2020
163,West Gear,1128299,"Wednesday, December 30, 2020",West,California,san francisco,Women's Apparel,80,700,560000,84000,0.15,Outlet,2020
164,West Gear,1128299,"Thursday, December 31, 2020",West,California,san francisco,Men's Street Footwear,60,900,540000,216000,0.4,Outlet,2020
165,West Gear,1128299,"Friday, January 1, 2021",West,California,san francisco,Men's Athletic Footwear,65,750,487500,121875,0.25,Outlet,2021
166,West Gear,1128299,"Saturday, January 2, 2021",West,California,san francisco,Women's Street Footwear,65,750,487500,195000,0.4,Outlet,2021
167,West Gear,1128299,"Sunday, January 3, 2021",West,California,san francisco,Women's Athletic Footwear,60,650,390000,136500,0.35,Outlet,2021
168,West Gear,1128299,"Monday, January 4, 2021",West,California,san francisco,Men's Apparel,65,550,357500,196625,0.55,Outlet,2021
169,West Gear,1128299,"Tuesday, January 5, 2021",West,California,san francisco,Women's Apparel,80,725,580000,116000,0.2,Outlet,2021
170,West Gear,1128299,"Wednesday, January 6, 2021",West,California,san francisco,Men's Street Footwear,60,975,585000,234000,0.4,Outlet,2021
171,West Gear,1128299,"Thursday, January 7, 2021",West,California,san francisco,Men's Athletic Footwear,65,825,536250,134062.5,0.25,Outlet,2021
172,West Gear,1128299,"Friday, January 8, 2021",West,California,san francisco,Women's Street Footwear,65,825,536250,214500,0.4,Outlet,2021
173,West Gear,1128299,"Saturday, January 9, 2021",West,California,san francisco,Women's Athletic Footwear,60,700,420000,147000,0.35,Outlet,2021
174,West Gear,1128299,"Sunday, January 10, 2021",West,California,san francisco,Men's Apparel,65,575,373750,205562.5,0.55,Outlet,2021
175,West Gear,1128299,"Monday, January 11, 2021",West,California,san francisco,Women's Apparel,80,875,700000,140000,0.2,Outlet,2021
176,West Gear,1128299,"Tuesday, January 12, 2021",West,California,san francisco,Men's Street Footwear,60,1025,615000,215250,0.35,Outlet,2021
177,West Gear,1128299,"Wednesday, January 13, 2021",West,California,san francisco,Men's Athletic Footwear,65,875,568750,113750,0.2,Outlet,2021
178,West Gear,1128299,"Thursday, January 14, 2021",West,California,san francisco,Women's Street Footwear,65,825,536250,187687.5,0.35,Outlet,2021
179,West Gear,1128299,"Friday, January 15, 2021",West,California,san francisco,Women's Athletic Footwear,60,725,435000,130500,0.3,Outlet,2021
180,West Gear,1128299,"Saturday, January 16, 2021",West,California,san francisco,Men's Apparel,65,775,503750,251875,0.5,Outlet,2021
181,West Gear,1128299,"Sunday, January 17, 2021",West,California,san francisco,Women's Apparel,80,775,620000,93000,0.15,Outlet,2021
182,West Gear,1128299,"Monday, January 18, 2021",West,California,san francisco,Men's Street Footwear,65,975,633750,221812.5,0.35,Outlet,2021
183,West Gear,1128299,"Tuesday, January 19, 2021",West,California,san francisco,Men's Athletic Footwear,70,925,647500,129500,0.2,Outlet,2021
184,West Gear,1128299,"Wednesday, January 20, 2021",West,California,san francisco,Women's Street Footwear,65,800,520000,182000,0.35,Outlet,2021
185,West Gear,1128299,"Thursday, January 21, 2021",West,California,san francisco,Women's Athletic Footwear,65,750,487500,146250,0.3,Outlet,2021
186,West Gear,1128299,"Friday, January 22, 2021",West,California,san francisco,Men's Apparel,75,750,562500,281250,0.5,Outlet,2021
187,West Gear,1128299,"Saturday, January 23, 2021",West,California,san francisco,Women's Apparel,80,725,580000,87000,0.15,Outlet,2021
188,West Gear,1128299,"Sunday, January 24, 2021",West,California,san francisco,Men's Street Footwear,55,925,508750,152625,0.3,Outlet,2021
189,West Gear,1128299,"Monday, January 25, 2021",West,California,san francisco,Men's Athletic Footwear,60,925,555000,83250,0.15,Outlet,2021
190,West Gear,1128299,"Tuesday, January 26, 2021",West,California,san francisco,Women's Street Footwear,55,775,426250,127875,0.3,Outlet,2021
191,West Gear,1128299,"Wednesday, January 27, 2021",West,California,san francisco,Women's Athletic Footwear,55,725,398750,99687.5,0.25,Outlet,2021
192,West Gear,1128299,"Thursday, January 28, 2021",West,California,san francisco,Men's Apparel,65,725,471250,212062.5,0.45,Outlet,2021
193,West Gear,1128299,"Friday, January 29, 2021",West,California,san francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet,2021
194,West Gear,1128299,"Saturday, January 30, 2021",West,California,san francisco,Men's Street Footwear,55,875,481250,144375,0.3,Outlet,2021
195,West Gear,1128299,"Sunday, January 31, 2021",West,California,san francisco,Men's Athletic Footwear,60,875,525000,78750,0.15,Outlet,2021
196,West Gear,1128299,"Monday, February 1, 2021",West,California,san francisco,Women's Street Footwear,55,700,385000,115500,0.3,Outlet,2021
197,West Gear,1128299,"Tuesday, February 2, 2021",West,California,san francisco,Women's Athletic Footwear,55,675,371250,92812.5,0.25,Outlet,2021
198,West Gear,1128299,"Wednesday, February 3, 2021",West,California,san francisco,Men's Apparel,65,650,422500,190125,0.45,Outlet,2021
199,West Gear,1128299,"Thursday, February 4, 2021",West,California,san francisco,Women's Apparel,70,700,490000,49000,0.1,Outlet,2021
200,West Gear,1128299,"Friday, February 5, 2021",West,California,san francisco,Men's Street Footwear,55,875,481250,144375,0.3,Outlet,2021
201,West Gear,1128299,"Saturday, February 6, 2021",West,California,san francisco,Men's Athletic Footwear,60,875,525000,78750,0.15,Outlet,2021
202,West Gear,1128299,"Sunday, February 7, 2021",West,California,san francisco,Women's Street Footwear,55,725,398750,119625,0.3,Outlet,2021
203,West Gear,1128299,"Monday, February 8, 2021",West,California,san francisco,Women's Athletic Footwear,55,700,385000,96250,0.25,Outlet,2021
